CountyFIPS,Year,WaterBodyProximity
39173,2020,1
39173,2020,1
6059,2020,1
47037,2020,1
13127,2020,1
11001,2020,1
42017,2020,1
42017,2020,1
42101,2020,1
26163,2020,5
26163,2020,3
26163,2020,92
26163,2020,6
26163,2020,1
26163,2020,4
26163,2020,1
37135,2020,1
37173,2020,1
37173,2020,1
37037,2020,1
35001,2020,1
35001,2020,2
35001,2020,5
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
51059,2020,1
48453,2020,1
48347,2020,4
22063,2020,3
51013,2020,1
51013,2020,6
51013,2020,2
51013,2020,2
51013,2020,1
28059,2020,1
39139,2020,1
39139,2020,1
26093,2020,1
26093,2020,2
26163,2020,1
6037,2020,1
6037,2020,2
6037,2020,2
6037,2020,1
6037,2020,2
6037,2020,2
6037,2020,3
6037,2020,1
6037,2020,1
6037,2020,2
6037,2020,1
6037,2020,1
6037,2020,2
6037,2020,1
6037,2020,1
6037,2020,11
6037,2020,4
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,3
6037,2020,2
6037,2020,1
6037,2020,2
6037,2020,2
6037,2020,3
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,1
6037,2020,2
46099,2020,2
12057,2020,1
12057,2020,1
39095,2020,1
26115,2020,2
26115,2020,1
15007,2020,1
15007,2020,2
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,5
15003,2020,1
NA,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,7
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,10
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
NA,2020,5
15003,2020,2
15003,2020,2
15003,2020,2
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,2
15003,2020,1
15003,2020,1
15003,2020,1
15003,2020,1
15009,2020,1
NA,2020,1
15009,2020,2
15009,2020,1
15009,2020,1
15009,2020,1
NA,2020,1
15009,2020,1
15009,2020,1
15009,2020,1
15009,2020,1
15009,2020,1
15009,2020,1
15009,2020,3
15009,2020,1
15001,2020,1
15001,2020,1
2170,2020,2
2170,2020,11
2170,2020,4
2170,2020,1
2170,2020,3
2170,2020,1
2090,2020,1
2090,2020,1
NA,2020,1
6041,2020,3
6041,2020,1
6075,2020,1
6075,2020,1
6075,2020,1
6075,2020,1
6075,2020,1
6075,2020,1
6075,2020,1
6075,2020,2
6081,2020,1
6081,2020,2
6081,2020,5
6081,2020,3
6081,2020,1
6081,2020,2
6081,2020,1
6081,2020,1
6081,2020,6
NA,2020,2
6081,2020,9
6081,2020,1
6001,2020,4
6001,2020,1
6001,2020,2
6013,2020,5
6013,2020,93
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,4
6085,2020,2
6085,2020,3
6085,2020,1
6085,2020,1
6085,2020,2
6085,2020,3
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,2
6085,2020,1
6085,2020,1
6085,2020,2
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6001,2020,3
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,4
6085,2020,1
6085,2020,3
6085,2020,1
6085,2020,8
6085,2020,1
6085,2020,1
6085,2020,1
6085,2020,2
6085,2020,6
6085,2020,1
6085,2020,1
