CountyFIPS,Year,InsuranceCoverage
22097,2010,15.1
22103,2010,15.1
22105,2010,16.4
22109,2010,17
23001,2010,9
23003,2010,10.6
23005,2010,8.7
23011,2010,7.9
23019,2010,9.8
23031,2010,9.2
24001,2010,9.9
24003,2010,8.5
24005,2010,10.2
24009,2010,8
24013,2010,5
24015,2010,8.1
24017,2010,9
24021,2010,6.7
24025,2010,7.1
24027,2010,8.8
24031,2010,12.5
24033,2010,16.1
24037,2010,9.6
24043,2010,9.8
24045,2010,13.2
24510,2010,14.5
25001,2010,6.1
25003,2010,4.3
25005,2010,4.5
25009,2010,4.7
25011,2010,3.6
25013,2010,5.5
25015,2010,3.1
25017,2010,3.8
25021,2010,3.1
25023,2010,4.1
25025,2010,6.4
25027,2010,3.9
26005,2010,12.5
26017,2010,11.7
26021,2010,12.6
26025,2010,14
26037,2010,8.1
26045,2010,9.9
26049,2010,10.3
26055,2010,13.8
26065,2010,8.9
26073,2010,12.7
26075,2010,13.6
26077,2010,10.2
26081,2010,11.7
26087,2010,14
26091,2010,12.9
26093,2010,7.8
26099,2010,12
26103,2010,10.1
26111,2010,9.7
26115,2010,9.4
26121,2010,13.6
26125,2010,10.9
26139,2010,9.4
26145,2010,13.1
26147,2010,13.4
26155,2010,11.6
26159,2010,15.2
26161,2010,8.5
26163,2010,15.6
27003,2010,8.9
27019,2010,6.1
27037,2010,6.7
27053,2010,10.4
27109,2010,7.6
27123,2010,10.7
27137,2010,8.8
27139,2010,8.4
27141,2010,10.2
27145,2010,8.5
27163,2010,6
27171,2010,7.2
28033,2010,14.9
28035,2010,15.6
28047,2010,20.9
28049,2010,18.6
28059,2010,19.8
28067,2010,17.7
28075,2010,15.6
28081,2010,16.9
28089,2010,12.6
28121,2010,16.1
29019,2010,10.1
29021,2010,11.1
29031,2010,13.5
29037,2010,10.9
29043,2010,13.4
29047,2010,8.6
29051,2010,7.3
29071,2010,12.8
29077,2010,15.2
29095,2010,17
29097,2010,19.6
29099,2010,12.6
29165,2010,7
29183,2010,7.5
29187,2010,13.1
29189,2010,9.6
29510,2010,19
30013,2010,14.6
30029,2010,20.8
30031,2010,11.8
30063,2010,17.4
30111,2010,14.8
31055,2010,13.2
31109,2010,10
31153,2010,7.2
32003,2010,23.1
32031,2010,22.3
33005,2010,13.5
33009,2010,11.4
33011,2010,9.4
33013,2010,10.7
33015,2010,9.8
33017,2010,14.5
34001,2010,11.7
34003,2010,13.4
34005,2010,7.4
34007,2010,12.4
34009,2010,12.2
34011,2010,18.7
34013,2010,18.2
34015,2010,9.1
34017,2010,22.7
34019,2010,5.7
34021,2010,12.1
34023,2010,13.6
34025,2010,9.7
34027,2010,9
34029,2010,9.2
34031,2010,18.3
34033,2010,9.8
34035,2010,8.9
34037,2010,8.4
34039,2010,16.8
34041,2010,9
35001,2010,17
35005,2010,17.5
35013,2010,21.4
35031,2010,38.7
35043,2010,14.1
35045,2010,33.9
35049,2010,17.7
35061,2010,17
36001,2010,8.4
36005,2010,16.1
36007,2010,9.1
36009,2010,12.8
36011,2010,12.2
36013,2010,9.8
36015,2010,8.6
36019,2010,7.3
36027,2010,9.1
36029,2010,7.6
36045,2010,11.1
36047,2010,14.5
36051,2010,6.7
36053,2010,9.3
36055,2010,7.6
36059,2010,10.2
36061,2010,10.9
36063,2010,7.9
36065,2010,6.4
36067,2010,9.7
36069,2010,10
36071,2010,10.3
36075,2010,9.1
36079,2010,10.8
36081,2010,18.6
36083,2010,8.2
36085,2010,7.1
36087,2010,10.8
36089,2010,14.8
36091,2010,7.8
36093,2010,10.3
36101,2010,12.3
36103,2010,10.4
36105,2010,16.6
36109,2010,6.6
36111,2010,10.7
36113,2010,9.6
36117,2010,9.6
36119,2010,11.5
37001,2010,18.4
37019,2010,14.6
37021,2010,17.8
37023,2010,14.5
37025,2010,17
37027,2010,17
37031,2010,16.7
37035,2010,16.8
37045,2010,15
37049,2010,14.1
37051,2010,15.3
37057,2010,17.1
37063,2010,17.8
37067,2010,16.4
37071,2010,19.2
37081,2010,17.1
37085,2010,16.2
37089,2010,16.5
37097,2010,15.5
37101,2010,16.8
37109,2010,17.8
37119,2010,17.1
37125,2010,13.5
37127,2010,15.1
37129,2010,15.5
37133,2010,14.5
37135,2010,14.8
37147,2010,14.9
37151,2010,14.9
37155,2010,25.5
37157,2010,15.5
37159,2010,21.1
37161,2010,18.2
37171,2010,18.7
37179,2010,14.9
37183,2010,14.2
