CountyFIPS,Year,PopulationDensity
00-000,2004,292892127
00-000,2005,295560549
00-000,2006,298362973
00-000,2007,301290332
00-000,2008,304059724
00-000,2009,307006550
00-000,2010,308758105
00-000,2010,309327143
00-000,2010,308745538
00-000,2011,311583481
00-000,2012,313877662
00-000,2013,316059947
00-000,2013,316128839
00-000,2014,318386329
00-000,2015,320738994
00-000,2016,323071755
00-000,2017,325122128
00-000,2018,326838199
00-000,2019,328329953
00-000,2020,329484123
01-000,2004,4510588
01-000,2005,4542912
01-000,2006,4594911
01-000,2007,4634063
01-000,2008,4673889
01-000,2009,4707496
01-000,2010,4785514
01-000,2010,4779736
01-000,2010,4780118
01-000,2011,4799642
01-000,2012,4816632
01-000,2013,4831586
01-000,2014,4843737
01-000,2015,4854803
01-000,2016,4866824
01-000,2017,4877989
01-000,2018,4891628
01-000,2019,4907965
01-000,2020,4921532
01-001,2004,48366
01-001,2005,49676
01-001,2006,51328
01-001,2007,52405
01-001,2008,53277
01-001,2009,54135
01-001,2010,54761
01-001,2010,54582
01-001,2010,54571
01-001,2011,55229
01-001,2012,54970
01-001,2013,54747
01-001,2014,54922
01-001,2015,54903
01-001,2016,55302
01-001,2017,55448
01-001,2018,55533
01-001,2019,55769
01-001,2020,56145
01-003,2004,156266
01-003,2005,162183
01-003,2006,168121
01-003,2007,172404
01-003,2008,175827
01-003,2009,179406
01-003,2010,183121
01-003,2010,182263
01-003,2010,182265
01-003,2011,186579
01-003,2012,190203
01-003,2013,194978
01-003,2014,199306
01-003,2015,203101
01-003,2016,207787
01-003,2017,212737
01-003,2018,218071
01-003,2019,223565
01-003,2020,229287
01-005,2004,28287
01-005,2005,28027
01-005,2006,27861
01-005,2007,27757
01-005,2008,27808
01-005,2009,27657
01-005,2010,27325
01-005,2010,27454
01-005,2010,27457
01-005,2011,27344
01-005,2012,27172
01-005,2013,26946
01-005,2014,26768
01-005,2015,26300
01-005,2016,25828
01-005,2017,25169
01-005,2018,24887
01-005,2019,24657
01-005,2020,24589
01-007,2004,21721
01-007,2005,22042
01-007,2006,22099
01-007,2007,22438
01-007,2008,22705
01-007,2009,22941
01-007,2010,22858
01-007,2010,22904
01-007,2010,22915
01-007,2011,22736
01-007,2012,22657
01-007,2013,22510
01-007,2014,22541
01-007,2015,22553
01-007,2016,22590
01-007,2017,22532
01-007,2018,22300
01-007,2019,22313
01-007,2020,22136
01-009,2004,54124
01-009,2005,54624
01-009,2006,55485
01-009,2007,56240
01-009,2008,57055
01-009,2009,57341
01-009,2010,57372
01-009,2010,57322
01-009,2010,57322
01-009,2011,57561
01-009,2012,57585
01-009,2013,57630
01-009,2014,57536
01-009,2015,57535
01-009,2016,57487
01-009,2017,57801
01-009,2018,57770
01-009,2019,57840
01-009,2020,57879
01-011,2004,11056
01-011,2005,11011
01-011,2006,10776
01-011,2007,11011
01-011,2008,10953
01-011,2009,10987
01-011,2010,10876
01-011,2010,10914
01-011,2010,10913
01-011,2011,10680
01-011,2012,10610
01-011,2013,10557
01-011,2014,10668
01-011,2015,10404
01-011,2016,10397
01-011,2017,10181
01-011,2018,10165
01-011,2019,10144
01-011,2020,9976
01-013,2004,20870
01-013,2005,20830
01-013,2006,20815
01-013,2007,20894
01-013,2008,20949
01-013,2009,20867
01-013,2010,20933
01-013,2010,20940
01-013,2010,20947
01-013,2011,20867
01-013,2012,20672
01-013,2013,20359
01-013,2014,20332
01-013,2015,20168
01-013,2016,20040
01-013,2017,19911
01-013,2018,19675
01-013,2019,19501
01-013,2020,19504
01-015,2004,113462
01-015,2005,114477
01-015,2006,115388
01-015,2007,116211
01-015,2008,117274
01-015,2009,118363
01-015,2010,118420
01-015,2010,118533
01-015,2010,118572
01-015,2011,117767
01-015,2012,117227
01-015,2013,116528
01-015,2014,115991
01-015,2015,115550
01-015,2016,115036
01-015,2017,114746
01-015,2018,114298
01-015,2019,114070
01-015,2020,113469
01-017,2004,35463
01-017,2005,35279
01-017,2006,34945
01-017,2007,34847
01-017,2008,34563
01-017,2009,34384
01-017,2010,34105
01-017,2010,34154
01-017,2010,34215
01-017,2011,34016
01-017,2012,34088
01-017,2013,34125
01-017,2014,33964
01-017,2015,33991
01-017,2016,33742
01-017,2017,33716
01-017,2018,33570
01-017,2019,33244
01-017,2020,32865
01-019,2004,24887
01-019,2005,25031
01-019,2006,25466
01-019,2007,25553
01-019,2008,25636
01-019,2009,25854
01-019,2010,25968
01-019,2010,25984
01-019,2010,25989
01-019,2011,25993
01-019,2012,25961
01-019,2013,26022
01-019,2014,25900
01-019,2015,25739
01-019,2016,25769
01-019,2017,25822
01-019,2018,26035
01-019,2019,26254
01-019,2020,26294
01-021,2004,41534
01-021,2005,41946
01-021,2006,42318
01-021,2007,42881
01-021,2008,43239
01-021,2009,43484
01-021,2010,43645
01-021,2010,43625
01-021,2010,43643
01-021,2011,43682
01-021,2012,43572
01-021,2013,43617
01-021,2014,43751
01-021,2015,43693
01-021,2016,43854
01-021,2017,44085
01-021,2018,44084
01-021,2019,44313
01-021,2020,44397
01-023,2004,14930
01-023,2005,14545
01-023,2006,14431
01-023,2007,14216
01-023,2008,14114
01-023,2009,13976
01-023,2010,13848
01-023,2010,13858
01-023,2010,13859
01-023,2011,13608
01-023,2012,13565
01-023,2013,13401
01-023,2014,13322
01-023,2015,13237
01-023,2016,13049
01-023,2017,12923
01-023,2018,12810
01-023,2019,12577
01-023,2020,12418
01-025,2004,26958
01-025,2005,26764
01-025,2006,26755
01-025,2007,26436
01-025,2008,26283
01-025,2009,26038
01-025,2010,25767
01-025,2010,25834
01-025,2010,25833
01-025,2011,25589
01-025,2012,25161
01-025,2013,25131
01-025,2014,24873
01-025,2015,24711
01-025,2016,24342
01-025,2017,24083
01-025,2018,23965
01-025,2019,23651
01-025,2020,23291
01-027,2004,14121
01-027,2005,14077
01-027,2006,14053
01-027,2007,14085
01-027,2008,14161
01-027,2009,14006
01-027,2010,13897
01-027,2010,13930
01-027,2010,13932
01-027,2011,13687
01-027,2012,13433
01-027,2013,13406
01-027,2014,13443
01-027,2015,13415
01-027,2016,13393
01-027,2017,13355
01-027,2018,13301
01-027,2019,13265
01-027,2020,13112
01-029,2004,14339
01-029,2005,14368
01-029,2006,14538
01-029,2007,14799
01-029,2008,14874
01-029,2009,14918
01-029,2010,15004
01-029,2010,14972
01-029,2010,14972
01-029,2011,14928
01-029,2012,14889
01-029,2013,14974
01-029,2014,15029
01-029,2015,14923
01-029,2016,14871
01-029,2017,14924
01-029,2018,15047
01-029,2019,14952
01-029,2020,14967
01-031,2004,45053
01-031,2005,45604
01-031,2006,46228
01-031,2007,47458
01-031,2008,48516
01-031,2009,49440
01-031,2010,50204
01-031,2010,49948
01-031,2010,49951
01-031,2011,50449
01-031,2012,51159
01-031,2013,50709
01-031,2014,50693
01-031,2015,51004
01-031,2016,51281
01-031,2017,51943
01-031,2018,52097
01-031,2019,52639
01-031,2020,53230
01-033,2004,54380
01-033,2005,54359
01-033,2006,54413
01-033,2007,54486
01-033,2008,54473
01-033,2009,54426
01-033,2010,54527
01-033,2010,54430
01-033,2010,54428
01-033,2011,54545
01-033,2012,54578
01-033,2013,54544
01-033,2014,54484
01-033,2015,54439
01-033,2016,54483
01-033,2017,54682
01-033,2018,54970
01-033,2019,55241
01-033,2020,55411
01-035,2004,13430
01-035,2005,13421
01-035,2006,13603
01-035,2007,13441
01-035,2008,13388
01-035,2009,13274
01-035,2010,13234
01-035,2010,13228
01-035,2010,13232
01-035,2011,13194
01-035,2012,13043
01-035,2013,12908
01-035,2014,12674
01-035,2015,12677
01-035,2016,12495
01-035,2017,12431
01-035,2018,12264
01-035,2019,12055
01-035,2020,11851
01-037,2004,11560
01-037,2005,11467
01-037,2006,11451
01-037,2007,11439
01-037,2008,11493
01-037,2009,11410
01-037,2010,11779
01-037,2010,11756
01-037,2010,11539
01-037,2011,11483
01-037,2012,11343
01-037,2013,11252
01-037,2014,11037
01-037,2015,10935
01-037,2016,10812
01-037,2017,10724
01-037,2018,10619
01-037,2019,10677
01-037,2020,10650
01-039,2004,36806
01-039,2005,37204
01-039,2006,37441
01-039,2007,37631
01-039,2008,37545
01-039,2009,37648
01-039,2010,37810
01-039,2010,37762
01-039,2010,37765
01-039,2011,38023
01-039,2012,37809
01-039,2013,37820
01-039,2014,37766
01-039,2015,37566
01-039,2016,37400
01-039,2017,37077
01-039,2018,36993
01-039,2019,37082
01-039,2020,36930
01-041,2004,13727
01-041,2005,13699
01-041,2006,13880
01-041,2007,13956
01-041,2008,13922
01-041,2009,14024
01-041,2010,13868
01-041,2010,13906
01-041,2010,13891
01-041,2011,13894
01-041,2012,13914
01-041,2013,13847
01-041,2014,13851
01-041,2015,13851
01-041,2016,13911
01-041,2017,13871
01-041,2018,13855
01-041,2019,13811
01-041,2020,13681
01-043,2004,78131
01-043,2005,78692
01-043,2006,79044
01-043,2007,79576
01-043,2008,80273
01-043,2009,80351
01-043,2010,80456
01-043,2010,80404
01-043,2010,80406
01-043,2011,80419
01-043,2012,80292
01-043,2013,80704
01-043,2014,81081
01-043,2015,81771
01-043,2016,82434
01-043,2017,82830
01-043,2018,83300
01-043,2019,83644
01-043,2020,84515
01-045,2004,49245
01-045,2005,49050
01-045,2006,49077
01-045,2007,49488
01-045,2008,49871
01-045,2009,49854
01-045,2010,50396
01-045,2010,50253
01-045,2010,50251
01-045,2011,50134
01-045,2012,50313
01-045,2013,49807
01-045,2014,49465
01-045,2015,49428
01-045,2016,49476
01-045,2017,49467
01-045,2018,49268
01-045,2019,49294
01-045,2020,48959
01-047,2004,44795
01-047,2005,44434
01-047,2006,44323
01-047,2007,44194
01-047,2008,44265
01-047,2009,43759
01-047,2010,43855
01-047,2010,43813
01-047,2010,43820
01-047,2011,43254
01-047,2012,42794
01-047,2013,41981
01-047,2014,41560
01-047,2015,40947
01-047,2016,40105
01-047,2017,39263
01-047,2018,38270
01-047,2019,37182
01-047,2020,36098
01-049,2004,67260
01-049,2005,67794
01-049,2006,68495
01-049,2007,69450
01-049,2008,70228
01-049,2009,70864
01-049,2010,71133
01-049,2010,71090
01-049,2010,71109
01-049,2011,71335
01-049,2012,70913
01-049,2013,70881
01-049,2014,70963
01-049,2015,71065
01-049,2016,71116
01-049,2017,71441
01-049,2018,71430
01-049,2019,71506
01-049,2020,71658
01-051,2004,71018
01-051,2005,72978
01-051,2006,75246
01-051,2007,77124
01-051,2008,77698
01-051,2009,78632
01-051,2010,79558
01-051,2010,79279
01-051,2010,79303
01-051,2011,80005
01-051,2012,80211
01-051,2013,80557
01-051,2014,80563
01-051,2015,80903
01-051,2016,81258
01-051,2017,81452
01-051,2018,81189
01-051,2019,81575
01-051,2020,82158
01-053,2004,37713
01-053,2005,37601
01-053,2006,37673
01-053,2007,37839
01-053,2008,37929
01-053,2009,38249
01-053,2010,38352
01-053,2010,38319
01-053,2010,38325
01-053,2011,38211
01-053,2012,38029
01-053,2013,37775
01-053,2014,37749
01-053,2015,37676
01-053,2016,37500
01-053,2017,37010
01-053,2018,36515
01-053,2019,36569
01-053,2020,36281
01-055,2004,103080
01-055,2005,103174
01-055,2006,103528
01-055,2007,103893
01-055,2008,104206
01-055,2009,104239
01-055,2010,104440
01-055,2010,104412
01-055,2010,104430
01-055,2011,104356
01-055,2012,104271
01-055,2013,103891
01-055,2014,103417
01-055,2015,103033
01-055,2016,102931
01-055,2017,103076
01-055,2018,102766
01-055,2019,102460
01-055,2020,102371
01-057,2004,18022
01-057,2005,18030
01-057,2006,17767
01-057,2007,17523
01-057,2008,17541
01-057,2009,17310
01-057,2010,17232
01-057,2010,17241
01-057,2010,17237
01-057,2011,17061
01-057,2012,16955
01-057,2013,16837
01-057,2014,16784
01-057,2015,16711
01-057,2016,16581
01-057,2017,16478
01-057,2018,16451
01-057,2019,16279
01-057,2020,16241
01-059,2004,30768
01-059,2005,30968
01-059,2006,31134
01-059,2007,31004
01-059,2008,31459
01-059,2009,31589
01-059,2010,31746
01-059,2010,31704
01-059,2010,31708
01-059,2011,31776
01-059,2012,31699
01-059,2013,31566
01-059,2014,31572
01-059,2015,31532
01-059,2016,31674
01-059,2017,31670
01-059,2018,31495
01-059,2019,31587
01-059,2020,31507
01-061,2004,25772
01-061,2005,25988
01-061,2006,26271
01-061,2007,26322
01-061,2008,26646
01-061,2009,26653
01-061,2010,26778
01-061,2010,26790
01-061,2010,26783
01-061,2011,26758
01-061,2012,26928
01-061,2013,26688
01-061,2014,26605
01-061,2015,26645
01-061,2016,26497
01-061,2017,26404
01-061,2018,26296
01-061,2019,26309
01-061,2020,26411
01-063,2004,9686
01-063,2005,9675
01-063,2006,9361
01-063,2007,9385
01-063,2008,9359
01-063,2009,9182
01-063,2010,8990
01-063,2010,9039
01-063,2010,9045
01-063,2011,8903
01-063,2012,8849
01-063,2013,8749
01-063,2014,8585
01-063,2015,8509
01-063,2016,8485
01-063,2017,8312
01-063,2018,8212
01-063,2019,8104
01-063,2020,7990
01-065,2004,16765
01-065,2005,16622
01-065,2006,16427
01-065,2007,16418
01-065,2008,16260
01-065,2009,16025
01-065,2010,15745
01-065,2010,15760
01-065,2010,15762
01-065,2011,15360
01-065,2012,15366
01-065,2013,15249
01-065,2014,15047
01-065,2015,15016
01-065,2016,14845
01-065,2017,14812
01-065,2018,14773
01-065,2019,14669
01-065,2020,14670
01-067,2004,16692
01-067,2005,16752
01-067,2006,16953
01-067,2007,17108
01-067,2008,17129
01-067,2009,17243
01-067,2010,17293
01-067,2010,17296
01-067,2010,17302
01-067,2011,17377
01-067,2012,17152
01-067,2013,17128
01-067,2014,17074
01-067,2015,17097
01-067,2016,17062
01-067,2017,17105
01-067,2018,17100
01-067,2019,17125
01-067,2020,17223
01-069,2004,92593
01-069,2005,93903
01-069,2006,95846
01-069,2007,97727
01-069,2008,99183
01-069,2009,100500
01-069,2010,101800
01-069,2010,101547
01-069,2010,101562
01-069,2011,102509
01-069,2012,103410
01-069,2013,103691
01-069,2014,104216
01-069,2015,104326
01-069,2016,104355
01-069,2017,104472
01-069,2018,104943
01-069,2019,106240
01-069,2020,106580
01-071,2004,53525
01-071,2005,53332
01-071,2006,53483
01-071,2007,53333
01-071,2008,53525
01-071,2009,53461
01-071,2010,53207
01-071,2010,53248
01-071,2010,53227
01-071,2011,53240
01-071,2012,53107
01-071,2013,52986
01-071,2014,52592
01-071,2015,52229
01-071,2016,52058
01-071,2017,51865
01-071,2018,51649
01-071,2019,51672
01-071,2020,51582
01-073,2004,656023
01-073,2005,654919
01-073,2006,655893
01-073,2007,655163
01-073,2008,656510
01-073,2009,658441
01-073,2010,658230
01-073,2010,658564
01-073,2010,658466
01-073,2011,658175
01-073,2012,658183
01-073,2013,659434
01-073,2014,660185
01-073,2015,660717
01-073,2016,660507
01-073,2017,659892
01-073,2018,659672
01-073,2019,658539
01-073,2020,655342
01-075,2004,15075
01-075,2005,15009
01-075,2006,14816
01-075,2007,14901
01-075,2008,14799
01-075,2009,14689
01-075,2010,14496
01-075,2010,14564
01-075,2010,14564
01-075,2011,14292
01-075,2012,14250
01-075,2013,14214
01-075,2014,14071
01-075,2015,13931
01-075,2016,13926
01-075,2017,13885
01-075,2018,13878
01-075,2019,13817
01-075,2020,13764
01-077,2004,88732
01-077,2005,89358
01-077,2006,90294
01-077,2007,91107
01-077,2008,92202
01-077,2009,92526
01-077,2010,92738
01-077,2010,92709
01-077,2010,92709
01-077,2011,92615
01-077,2012,92687
01-077,2013,92738
01-077,2014,93049
01-077,2015,92524
01-077,2016,92521
01-077,2017,92701
01-077,2018,92733
01-077,2019,93028
01-077,2020,93368
01-079,2004,34318
01-079,2005,34435
01-079,2006,34028
01-079,2007,34293
01-079,2008,34196
01-079,2009,34315
01-079,2010,34314
01-079,2010,34308
01-079,2010,34339
01-079,2011,34026
01-079,2012,33782
01-079,2013,33553
01-079,2014,33423
01-079,2015,33116
01-079,2016,33196
01-079,2017,33035
01-079,2018,32905
01-079,2019,32851
01-079,2020,32857
01-081,2004,122274
01-081,2005,126133
01-081,2006,129247
01-081,2007,131934
01-081,2008,134524
01-081,2009,138566
01-081,2010,140815
01-081,2010,140247
01-081,2010,140300
01-081,2011,144194
01-081,2012,148670
01-081,2013,151943
01-081,2014,154682
01-081,2015,157162
01-081,2016,159446
01-081,2017,161808
01-081,2018,164206
01-081,2019,165015
01-081,2020,166831
01-083,2004,69593
01-083,2005,71303
01-083,2006,73651
01-083,2007,76063
01-083,2008,78835
01-083,2009,81326
01-083,2010,83168
01-083,2010,82775
01-083,2010,82782
01-083,2011,85553
01-083,2012,87336
01-083,2013,88931
01-083,2014,90622
01-083,2015,91596
01-083,2016,92896
01-083,2017,94144
01-083,2018,96199
01-083,2019,99136
01-083,2020,102228
01-085,2004,12623
01-085,2005,12397
01-085,2006,12124
01-085,2007,11973
01-085,2008,11813
01-085,2009,11486
01-085,2010,11294
01-085,2010,11302
01-085,2010,11299
01-085,2011,11144
01-085,2012,10857
01-085,2013,10666
01-085,2014,10497
01-085,2015,10350
01-085,2016,10245
01-085,2017,10100
01-085,2018,9969
01-085,2019,9726
01-085,2020,9641
01-087,2004,22685
01-087,2005,22388
01-087,2006,22227
01-087,2007,21942
01-087,2008,21597
01-087,2009,21190
01-087,2010,21515
01-087,2010,21459
01-087,2010,21452
01-087,2011,21299
01-087,2012,20625
01-087,2013,20043
01-087,2014,19670
01-087,2015,19331
01-087,2016,19077
01-087,2017,18828
01-087,2018,18320
01-087,2019,18065
01-087,2020,17895
01-089,2004,295655
01-089,2005,301474
01-089,2006,309170
01-089,2007,315859
01-089,2008,323526
01-089,2009,330856
01-089,2010,336114
01-089,2010,334811
01-089,2010,334812
01-089,2011,339623
01-089,2012,342823
01-089,2013,346764
01-089,2014,349973
01-089,2015,353194
01-089,2016,356985
01-089,2017,362061
01-089,2018,367386
01-089,2019,372547
01-089,2020,379453
01-091,2004,21777
01-091,2005,21569
01-091,2006,21531
01-091,2007,21475
01-091,2008,21331
01-091,2009,21170
01-091,2010,20955
01-091,2010,21047
01-091,2010,21027
01-091,2011,20663
01-091,2012,20378
01-091,2013,20123
01-091,2014,19990
01-091,2015,19772
01-091,2016,19536
01-091,2017,19411
01-091,2018,19093
01-091,2019,18919
01-091,2020,18733
01-093,2004,30516
01-093,2005,30494
01-093,2006,30779
01-093,2007,30849
01-093,2008,30918
01-093,2009,30646
01-093,2010,30822
01-093,2010,30780
01-093,2010,30776
01-093,2011,30661
01-093,2012,30495
01-093,2013,30236
01-093,2014,30215
01-093,2015,30137
01-093,2016,29958
01-093,2017,29825
01-093,2018,29776
01-093,2019,29826
01-093,2020,29703
01-095,2004,85131
01-095,2005,86516
01-095,2006,88209
01-095,2007,89605
01-095,2008,91072
01-095,2009,92213
01-095,2010,93119
01-095,2010,93017
01-095,2010,93019
01-095,2011,93899
01-095,2012,94264
01-095,2013,94358
01-095,2014,94262
01-095,2015,94588
01-095,2016,95123
01-095,2017,95589
01-095,2018,96230
01-095,2019,96751
01-095,2020,96990
01-097,2004,397959
01-097,2005,398942
01-097,2006,402916
01-097,2007,405715
01-097,2008,409196
01-097,2009,411994
01-097,2010,413328
01-097,2010,413139
01-097,2010,412992
01-097,2011,413126
01-097,2012,413893
01-097,2013,414025
01-097,2014,414298
01-097,2015,414654
01-097,2016,415169
01-097,2017,414209
01-097,2018,414275
01-097,2019,413516
01-097,2020,412716
01-099,2004,23769
01-099,2005,23683
01-099,2006,23602
01-099,2007,23437
01-099,2008,23393
01-099,2009,23218
01-099,2010,23004
01-099,2010,23066
01-099,2010,23068
01-099,2011,22799
01-099,2012,22582
01-099,2013,22174
01-099,2014,21927
01-099,2015,21720
01-099,2016,21553
01-099,2017,21294
01-099,2018,21035
01-099,2019,20689
01-099,2020,20459
01-101,2004,223002
01-101,2005,223608
01-101,2006,227291
01-101,2007,227888
01-101,2008,227461
01-101,2009,227607
01-101,2010,229498
01-101,2010,229363
01-101,2010,229365
01-101,2011,229218
01-101,2012,228923
01-101,2013,228261
01-101,2014,227647
01-101,2015,227420
01-101,2016,227398
01-101,2017,227514
01-101,2018,226631
01-101,2019,226074
01-101,2020,224639
01-103,2004,113006
01-103,2005,113964
01-103,2006,115491
01-103,2007,116397
01-103,2008,117694
01-103,2009,118954
01-103,2010,119642
01-103,2010,119519
01-103,2010,119490
01-103,2011,120058
01-103,2012,120148
01-103,2013,119625
01-103,2014,119496
01-103,2015,119316
01-103,2016,119090
01-103,2017,118940
01-103,2018,119216
01-103,2019,119630
01-103,2020,119883
01-105,2004,11153
01-105,2005,10881
01-105,2006,10677
01-105,2007,10774
01-105,2008,10722
01-105,2009,10690
01-105,2010,10564
01-105,2010,10591
01-105,2010,10577
01-105,2011,10452
01-105,2012,10166
01-105,2013,10005
01-105,2014,9809
01-105,2015,9650
01-105,2016,9538
01-105,2017,9304
01-105,2018,9049
01-105,2019,8940
01-105,2020,8687
01-107,2004,20380
01-107,2005,20192
01-107,2006,20128
01-107,2007,19989
01-107,2008,19951
01-107,2009,19814
01-107,2010,19749
01-107,2010,19746
01-107,2010,19746
01-107,2011,19357
01-107,2012,19314
01-107,2013,19309
01-107,2014,20283
01-107,2015,20788
01-107,2016,20337
01-107,2017,20224
01-107,2018,19949
01-107,2019,19940
01-107,2020,19793
01-109,2004,30593
01-109,2005,30772
01-109,2006,31309
01-109,2007,31761
01-109,2008,32149
01-109,2009,32560
01-109,2010,32972
01-109,2010,32902
01-109,2010,32899
01-109,2011,33031
01-109,2012,33225
01-109,2013,33728
01-109,2014,33217
01-109,2015,33518
01-109,2016,33540
01-109,2017,33441
01-109,2018,33390
01-109,2019,33034
01-109,2020,32966
01-111,2004,22525
01-111,2005,22658
01-111,2006,22695
01-111,2007,22662
01-111,2008,22946
01-111,2009,22864
01-111,2010,22937
01-111,2010,22916
01-111,2010,22913
01-111,2011,22751
01-111,2012,22541
01-111,2013,22558
01-111,2014,22362
01-111,2015,22603
01-111,2016,22515
01-111,2017,22702
01-111,2018,22742
01-111,2019,22781
01-111,2020,22920
01-113,2004,49498
01-113,2005,49731
01-113,2006,50459
01-113,2007,51074
01-113,2008,51434
01-113,2009,52162
01-113,2010,53327
01-113,2010,52947
01-113,2010,52966
01-113,2011,54884
01-113,2012,57549
01-113,2013,59219
01-113,2014,59310
01-113,2015,58946
01-113,2016,58290
01-113,2017,57134
01-113,2018,57933
01-113,2019,58098
01-113,2020,58237
01-115,2004,70416
01-115,2005,72596
01-115,2006,75948
01-115,2007,79348
01-115,2008,81223
01-115,2009,83009
01-115,2010,83587
01-115,2010,83366
01-115,2010,83593
01-115,2011,83992
01-115,2012,84779
01-115,2013,85831
01-115,2014,86014
01-115,2015,86569
01-115,2016,87342
01-115,2017,87985
01-115,2018,88842
01-115,2019,89735
01-115,2020,90739
01-117,2004,165757
01-117,2005,171691
01-117,2006,178841
01-117,2007,183491
01-117,2008,188534
01-117,2009,192708
01-117,2010,196036
01-117,2010,195257
01-117,2010,195085
01-117,2011,197968
01-117,2012,200949
01-117,2013,204088
01-117,2014,206346
01-117,2015,209047
01-117,2016,211538
01-117,2017,213854
01-117,2018,215877
01-117,2019,218176
01-117,2020,221428
01-119,2004,14324
01-119,2005,14143
01-119,2006,14059
01-119,2007,13926
01-119,2008,13882
01-119,2009,13746
01-119,2010,13730
01-119,2010,13763
01-119,2010,13763
01-119,2011,13491
01-119,2012,13444
01-119,2013,13398
01-119,2014,13276
01-119,2015,13212
01-119,2016,12973
01-119,2017,12756
01-119,2018,12661
01-119,2019,12358
01-119,2020,12225
01-121,2004,81139
01-121,2005,81546
01-121,2006,81991
01-121,2007,82226
01-121,2008,82735
01-121,2009,82674
01-121,2010,82175
01-121,2010,82348
01-121,2010,82291
01-121,2011,81875
01-121,2012,82170
01-121,2013,81604
01-121,2014,81550
01-121,2015,81168
01-121,2016,80598
01-121,2017,80192
01-121,2018,80219
01-121,2019,80226
01-121,2020,79985
01-123,2004,40904
01-123,2005,40857
01-123,2006,41243
01-123,2007,41414
01-123,2008,41668
01-123,2009,41831
01-123,2010,41480
01-123,2010,41621
01-123,2010,41616
01-123,2011,41414
01-123,2012,41060
01-123,2013,41039
01-123,2014,40898
01-123,2015,40628
01-123,2016,40607
01-123,2017,40624
01-123,2018,40550
01-123,2019,40337
01-123,2020,40133
01-125,2004,171960
01-125,2005,175731
01-125,2006,181383
01-125,2007,184350
01-125,2008,188093
01-125,2009,192792
01-125,2010,195008
01-125,2010,194656
01-125,2010,194678
01-125,2011,196788
01-125,2012,198884
01-125,2013,201192
01-125,2014,203228
01-125,2015,204953
01-125,2016,206737
01-125,2017,207849
01-125,2018,208607
01-125,2019,210321
01-125,2020,210758
01-127,2004,68629
01-127,2005,68500
01-127,2006,68234
01-127,2007,67695
01-127,2008,67835
01-127,2009,67347
01-127,2010,66995
01-127,2010,67019
01-127,2010,67023
01-127,2011,66586
01-127,2012,66110
01-127,2013,65790
01-127,2014,65354
01-127,2015,64950
01-127,2016,64559
01-127,2017,63929
01-127,2018,63701
01-127,2019,63680
01-127,2020,63143
01-129,2004,17801
01-129,2005,17690
01-129,2006,17705
01-129,2007,17491
01-129,2008,17496
01-129,2009,17493
01-129,2010,17627
01-129,2010,17580
01-129,2010,17581
01-129,2011,17356
01-129,2012,17147
01-129,2013,16898
01-129,2014,16868
01-129,2015,16831
01-129,2016,16607
01-129,2017,16484
01-129,2018,16336
01-129,2019,16279
01-129,2020,15976
01-131,2004,12493
01-131,2005,12369
01-131,2006,12221
01-131,2007,12208
01-131,2008,12148
01-131,2009,11870
01-131,2010,11560
01-131,2010,11664
01-131,2010,11670
01-131,2011,11438
01-131,2012,11304
01-131,2013,11148
01-131,2014,10950
01-131,2015,10900
01-131,2016,10860
01-131,2017,10704
01-131,2018,10592
01-131,2019,10396
01-131,2020,10206
01-133,2004,24614
01-133,2005,24629
01-133,2006,24796
01-133,2007,24858
01-133,2008,24696
01-133,2009,24691
01-133,2010,24412
01-133,2010,24488
01-133,2010,24484
01-133,2011,24362
01-133,2012,24194
01-133,2013,24190
01-133,2014,24141
01-133,2015,23929
01-133,2016,23911
01-133,2017,23753
01-133,2018,23690
01-133,2019,23700
01-133,2020,23508
02-000,2004,659305
02-000,2005,667114
02-000,2006,675322
02-000,2007,679893
02-000,2008,685532
02-000,2009,694690
02-000,2010,713982
02-000,2010,710231
02-000,2010,710246
02-000,2011,722349
02-000,2012,730810
02-000,2013,737626
02-000,2014,737075
02-000,2015,738430
02-000,2016,742575
02-000,2017,740983
02-000,2018,736624
02-000,2019,733603
02-000,2020,731158
02-013,2004,2727
02-013,2005,2787
02-013,2006,2794
02-013,2007,3012
02-013,2008,2991
02-013,2009,3084
02-013,2010,3167
02-013,2010,3141
02-013,2010,3141
02-013,2011,3260
02-013,2012,3297
02-013,2013,3346
02-013,2014,3347
02-013,2015,3373
02-013,2016,3354
02-013,2017,3445
02-013,2018,3391
02-013,2019,3355
02-013,2020,3401
02-016,2004,5798
02-016,2005,5913
02-016,2006,5658
02-016,2007,5466
02-016,2008,5393
02-016,2009,5537
02-016,2010,5561
02-016,2010,5561
02-016,2010,5561
02-016,2011,5585
02-016,2012,5681
02-016,2013,5779
02-016,2014,5825
02-016,2015,5782
02-016,2016,5718
02-016,2017,5760
02-016,2018,5678
02-016,2019,5702
02-016,2020,5680
02-020,2004,274484
02-020,2005,276494
02-020,2006,280085
02-020,2007,278792
02-020,2008,281554
02-020,2009,287677
02-020,2010,293760
02-020,2010,291826
02-020,2010,292252
02-020,2011,296693
02-020,2012,298806
02-020,2013,301801
02-020,2014,300647
02-020,2015,298337
02-020,2016,298072
02-020,2017,295118
02-020,2018,291377
02-020,2019,288790
02-020,2020,287095
02-050,2004,16603
02-050,2005,16728
02-050,2006,16755
02-050,2007,16723
02-050,2008,16762
02-050,2009,16860
