county_FIPS,NAME,Percent_Uninsured,Year
0500000US12057,"Hillsborough County, Florida",19.4,2010
0500000US12061,"Indian River County, Florida",19.6,2010
0500000US12069,"Lake County, Florida",17.0,2010
0500000US12071,"Lee County, Florida",22.2,2010
0500000US12073,"Leon County, Florida",13.0,2010
0500000US12081,"Manatee County, Florida",19.3,2010
0500000US12083,"Marion County, Florida",20.0,2010
0500000US12085,"Martin County, Florida",17.4,2010
0500000US12086,"Miami-Dade County, Florida",31.8,2010
0500000US12087,"Monroe County, Florida",32.0,2010
0500000US12089,"Nassau County, Florida",14.3,2010
0500000US12091,"Okaloosa County, Florida",17.0,2010
0500000US12095,"Orange County, Florida",22.5,2010
0500000US12097,"Osceola County, Florida",23.9,2010
0500000US12099,"Palm Beach County, Florida",21.0,2010
0500000US12101,"Pasco County, Florida",17.7,2010
0500000US12103,"Pinellas County, Florida",17.8,2010
0500000US12105,"Polk County, Florida",20.0,2010
0500000US12107,"Putnam County, Florida",19.6,2010
0500000US12109,"St. Johns County, Florida",13.2,2010
0500000US12111,"St. Lucie County, Florida",22.6,2010
0500000US12113,"Santa Rosa County, Florida",16.0,2010
0500000US12115,"Sarasota County, Florida",17.8,2010
0500000US12117,"Seminole County, Florida",17.2,2010
0500000US12119,"Sumter County, Florida",11.4,2010
0500000US12127,"Volusia County, Florida",20.0,2010
0500000US13013,"Barrow County, Georgia",18.2,2010
0500000US13015,"Bartow County, Georgia",19.1,2010
0500000US13021,"Bibb County, Georgia",16.8,2010
0500000US13031,"Bulloch County, Georgia",21.4,2010
0500000US13045,"Carroll County, Georgia",19.7,2010
0500000US13051,"Chatham County, Georgia",19.8,2010
0500000US13057,"Cherokee County, Georgia",14.4,2010
0500000US13059,"Clarke County, Georgia",16.6,2010
0500000US13063,"Clayton County, Georgia",28.9,2010
0500000US13067,"Cobb County, Georgia",18.2,2010
0500000US13073,"Columbia County, Georgia",15.0,2010
0500000US13077,"Coweta County, Georgia",14.9,2010
0500000US13089,"DeKalb County, Georgia",25.0,2010
0500000US13095,"Dougherty County, Georgia",19.1,2010
0500000US13097,"Douglas County, Georgia",17.4,2010
0500000US13113,"Fayette County, Georgia",11.4,2010
0500000US13115,"Floyd County, Georgia",17.8,2010
0500000US13117,"Forsyth County, Georgia",14.1,2010
0500000US13121,"Fulton County, Georgia",17.9,2010
0500000US13127,"Glynn County, Georgia",23.3,2010
0500000US13135,"Gwinnett County, Georgia",24.4,2010
0500000US13139,"Hall County, Georgia",21.5,2010
0500000US13151,"Henry County, Georgia",15.9,2010
0500000US13153,"Houston County, Georgia",17.2,2010
0500000US13185,"Lowndes County, Georgia",21.1,2010
0500000US13215,"Muscogee County, Georgia",15.9,2010
0500000US13217,"Newton County, Georgia",19.0,2010
0500000US13223,"Paulding County, Georgia",14.3,2010
0500000US13245,"Richmond County, Georgia",17.6,2010
0500000US13247,"Rockdale County, Georgia",18.2,2010
0500000US13285,"Troup County, Georgia",20.6,2010
0500000US13295,"Walker County, Georgia",19.9,2010
0500000US13297,"Walton County, Georgia",16.8,2010
0500000US13313,"Whitfield County, Georgia",21.2,2010
0500000US15001,"Hawaii County, Hawaii",10.7,2010
0500000US15003,"Honolulu County, Hawaii",6.6,2010
0500000US15007,"Kauai County, Hawaii",9.8,2010
0500000US15009,"Maui County, Hawaii",11.5,2010
0500000US16001,"Ada County, Idaho",15.0,2010
0500000US16005,"Bannock County, Idaho",15.0,2010
0500000US16019,"Bonneville County, Idaho",15.2,2010
0500000US16027,"Canyon County, Idaho",18.7,2010
0500000US16055,"Kootenai County, Idaho",19.8,2010
0500000US16083,"Twin Falls County, Idaho",22.9,2010
0500000US17001,"Adams County, Illinois",9.5,2010
0500000US17019,"Champaign County, Illinois",12.5,2010
0500000US17031,"Cook County, Illinois",17.8,2010
0500000US17037,"DeKalb County, Illinois",9.1,2010
0500000US17043,"DuPage County, Illinois",9.6,2010
0500000US17089,"Kane County, Illinois",13.2,2010
0500000US17091,"Kankakee County, Illinois",13.6,2010
0500000US17093,"Kendall County, Illinois",10.0,2010
0500000US17097,"Lake County, Illinois",12.4,2010
